resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
difference_from_keep,1.0,1.0,1.0,0.008996743936619884,0.5,1.0,10,16,8,2,5,1
difference_from_keep,1.0,1.0,1.0,0.004656831468787947,0.75,1.0,20,16,4,7,4,1
difference_from_keep,1.0,1.0,2.0,0.012973044711496634,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
difference_from_keep,1.0,1.0,2.0,0.008607856858163442,0.3125,0.9285714285714286,10,16,11,0,5,0
difference_from_keep,1.0,1.0,2.0,0.003955024285458766,0.6875,0.9285714285714286,20,16,5,6,4,1
difference_from_keep,1.0,2.0,0.0,0.013783708179217752,0.5416666666666666,0.9464285714285714,5,24,11,0,8,5
difference_from_keep,1.0,2.0,0.0,0.009409243936619884,0.5,0.9464285714285714,10,16,8,2,5,1
difference_from_keep,1.0,2.0,0.0,0.005340685381644086,0.8125,0.9464285714285714,20,16,3,7,4,2
difference_from_keep,1.0,2.0,0.25,0.013648291512551085,0.5416666666666666,0.9642857142857143,5,24,11,0,8,5
difference_from_keep,1.0,2.0,0.25,0.009284243936619883,0.5,0.9642857142857143,10,16,8,2,5,1
difference_from_keep,1.0,2.0,0.25,0.005150581468787947,0.75,0.9642857142857143,20,16,4,7,4,1
difference_from_keep,1.0,2.0,0.5,0.013527211378163304,0.4583333333333333,1.0,5,24,13,0,8,3
difference_from_keep,1.0,2.0,0.5,0.009159243936619883,0.5,1.0,10,16,8,2,5,1
difference_from_keep,1.0,2.0,0.5,0.004963081468787947,0.75,1.0,20,16,4,7,4,1
difference_from_keep,1.0,2.0,1.0,0.013298044711496634,0.4583333333333333,0.9821428571428571,5,24,13,0,8,3
difference_from_keep,1.0,2.0,1.0,0.008913502715157909,0.4375,0.9821428571428571,10,16,9,1,5,1
difference_from_keep,1.0,2.0,1.0,0.004588081468787947,0.75,0.9821428571428571,20,16,4,7,4,1
difference_from_keep,1.0,2.0,2.0,0.012839711378163301,0.4583333333333333,0.9107142857142857,5,24,13,0,8,3
difference_from_keep,1.0,2.0,2.0,0.008545356858163444,0.3125,0.9107142857142857,10,16,11,0,5,0
difference_from_keep,1.0,2.0,2.0,0.0038972138820022447,0.625,0.9107142857142857,20,16,6,5,4,1
difference_from_keep,2.0,0.0,0.0,0.014273639242475244,0.5833333333333334,0.8928571428571429,5,24,10,0,9,5
difference_from_keep,2.0,0.0,0.0,0.009591113972662975,0.5625,0.8928571428571429,10,16,7,2,5,2
difference_from_keep,2.0,0.0,0.0,0.005405577213315394,0.8125,0.8928571428571429,20,16,3,6,5,2
difference_from_keep,2.0,0.0,0.25,0.01412780590914191,0.5833333333333334,0.9107142857142857,5,24,10,0,9,5
difference_from_keep,2.0,0.0,0.25,0.009450488972662974,0.5625,0.9107142857142857,10,16,7,2,5,2
difference_from_keep,2.0,0.0,0.25,0.005212869133792588,0.75,0.9107142857142857,20,16,4,6,5,1
difference_from_keep,2.0,0.0,0.5,0.01398787484588442,0.5416666666666666,0.9464285714285714,5,24,11,0,8,5
difference_from_keep,2.0,0.0,0.5,0.009323827269953218,0.5,0.9464285714285714,10,16,8,2,5,1
difference_from_keep,2.0,0.0,0.5,0.005025369133792588,0.75,0.9464285714285714,20,16,4,6,5,1
difference_from_keep,2.0,0.0,1.0,0.013725615373898853,0.5,0.9642857142857143,5,24,12,0,8,4
difference_from_keep,2.0,0.0,1.0,0.009073827269953219,0.5,0.9642857142857143,10,16,8,2,5,1
difference_from_keep,2.0,0.0,1.0,0.004650369133792588,0.75,0.9642857142857143,20,16,4,6,5,1
difference_from_keep,2.0,0.0,2.0,0.013252211378163301,0.4583333333333333,0.8928571428571429,5,24,13,0,8,3
difference_from_keep,2.0,0.0,2.0,0.008691190191496776,0.3125,0.8928571428571429,10,16,11,0,5,0
difference_from_keep,2.0,0.0,2.0,0.003960543213673553,0.625,0.8928571428571429,20,16,6,4,5,1
difference_from_keep,2.0,0.5,0.0,0.014198639242475242,0.5833333333333334,0.8928571428571429,5,24,10,0,9,5
difference_from_keep,2.0,0.5,0.0,0.009547363972662974,0.5625,0.8928571428571429,10,16,7,2,5,2
difference_from_keep,2.0,0.5,0.0,0.005371202213315394,0.8125,0.8928571428571429,20,16,3,6,5,2
difference_from_keep,2.0,0.5,0.25,0.014056624845884417,0.5416666666666666,0.9285714285714286,5,24,11,0,8,5
difference_from_keep,2.0,0.5,0.25,0.009406738972662974,0.5625,0.9285714285714286,10,16,7,2,5,2
difference_from_keep,2.0,0.5,0.25,0.005178494133792589,0.75,0.9285714285714286,20,16,4,6,5,1
difference_from_keep,2.0,0.5,0.5,0.013921208179217751,0.5416666666666666,0.9464285714285714,5,24,11,0,8,5
difference_from_keep,2.0,0.5,0.5,0.009280077269953217,0.5,0.9464285714285714,10,16,8,2,5,1
difference_from_keep,2.0,0.5,0.5,0.0049909941337925885,0.75,0.9464285714285714,20,16,4,6,5,1
difference_from_keep,2.0,0.5,1.0,0.013658948707232185,0.5,0.9464285714285714,5,24,12,0,8,4
difference_from_keep,2.0,0.5,1.0,0.009031211048491243,0.4375,0.9464285714285714,10,16,9,1,5,1
difference_from_keep,2.0,0.5,1.0,0.004615994133792588,0.75,0.9464285714285714,20,16,4,6,5,1
difference_from_keep,2.0,0.5,2.0,0.013185544711496633,0.4583333333333333,0.8928571428571429,5,24,13,0,8,3
difference_from_keep,2.0,0.5,2.0,0.008659940191496778,0.3125,0.8928571428571429,10,16,11,0,5,0
difference_from_keep,2.0,0.5,2.0,0.003932418213673553,0.625,0.8928571428571429,20,16,6,4,5,1
difference_from_keep,2.0,1.0,0.0,0.01412537484588442,0.5416666666666666,0.9107142857142857,5,24,11,0,8,5
difference_from_keep,2.0,1.0,0.0,0.009503613972662976,0.5625,0.9107142857142857,10,16,7,2,5,2
difference_from_keep,2.0,1.0,0.0,0.005336827213315394,0.8125,0.9107142857142857,20,16,3,6,5,2
difference_from_keep,2.0,1.0,0.25,0.013989958179217749,0.5416666666666666,0.9285714285714286,5,24,11,0,8,5
difference_from_keep,2.0,1.0,0.25,0.009362988972662975,0.5625,0.9285714285714286,10,16,7,2,5,2
difference_from_keep,2.0,1.0,0.25,0.005144119133792589,0.75,0.9285714285714286,20,16,4,6,5,1
difference_from_keep,2.0,1.0,0.5,0.013854541512551085,0.5416666666666666,0.9464285714285714,5,24,11,0,8,5
difference_from_keep,2.0,1.0,0.5,0.009236327269953219,0.5,0.9464285714285714,10,16,8,2,5,1
difference_from_keep,2.0,1.0,0.5,0.004956619133792589,0.75,0.9464285714285714,20,16,4,6,5,1
difference_from_keep,2.0,1.0,1.0,0.01359228204056552,0.5,0.9464285714285714,5,24,12,0,8,4
difference_from_keep,2.0,1.0,1.0,0.00899371104849124,0.4375,0.9464285714285714,10,16,9,1,5,1
difference_from_keep,2.0,1.0,1.0,0.0045816191337925884,0.75,0.9464285714285714,20,16,4,6,5,1
difference_from_keep,2.0,1.0,2.0,0.013118878044829968,0.4583333333333333,0.8928571428571429,5,24,13,0,8,3
difference_from_keep,2.0,1.0,2.0,0.008628690191496776,0.3125,0.8928571428571429,10,16,11,0,5,0
difference_from_keep,2.0,1.0,2.0,0.0039042932136735533,0.625,0.8928571428571429,20,16,6,4,5,1
difference_from_keep,2.0,2.0,0.0,0.013992041512551083,0.5416666666666666,0.9107142857142857,5,24,11,0,8,5
difference_from_keep,2.0,2.0,0.0,0.009416113972662975,0.5625,0.9107142857142857,10,16,7,2,5,2
difference_from_keep,2.0,2.0,0.0,0.0052680772133153935,0.8125,0.9107142857142857,20,16,3,6,5,2
difference_from_keep,2.0,2.0,0.25,0.013856624845884416,0.5416666666666666,0.9285714285714286,5,24,11,0,8,5
difference_from_keep,2.0,2.0,0.25,0.009275488972662973,0.5625,0.9285714285714286,10,16,7,2,5,2
difference_from_keep,2.0,2.0,0.25,0.005075369133792588,0.75,0.9285714285714286,20,16,4,6,5,1
difference_from_keep,2.0,2.0,0.5,0.01372120817921775,0.5416666666666666,0.9464285714285714,5,24,11,0,8,5
difference_from_keep,2.0,2.0,0.5,0.009148827269953218,0.5,0.9464285714285714,10,16,8,2,5,1
difference_from_keep,2.0,2.0,0.5,0.004887869133792589,0.75,0.9464285714285714,20,16,4,6,5,1
difference_from_keep,2.0,2.0,1.0,0.013458948707232188,0.5,0.9107142857142857,5,24,12,0,8,4
difference_from_keep,2.0,2.0,1.0,0.008928400817353,0.375,0.9107142857142857,10,16,10,0,5,1
difference_from_keep,2.0,2.0,1.0,0.004515228617130074,0.6875,0.9107142857142857,20,16,5,5,5,1
difference_from_keep,2.0,2.0,2.0,0.012985544711496636,0.4583333333333333,0.8928571428571429,5,24,13,0,8,3
difference_from_keep,2.0,2.0,2.0,0.008566190191496775,0.3125,0.8928571428571429,10,16,11,0,5,0
difference_from_keep,2.0,2.0,2.0,0.003848043213673553,0.625,0.8928571428571429,20,16,6,4,5,1
