seed,packet_loss_rate,delay,method,position_rmse,velocity_rmse,mean_angle_nis,mean_orbit_nees,pre_ci_position_rmse,pre_ci_velocity_rmse,pre_ci_mean_orbit_nees,ci_position_gain,ci_velocity_gain,mean_attitude_error_deg,received_report_count,dropped_report_count,pending_report_count,average_delay,realized_packet_loss_rate,failed,error
20260729,0.0,0.0,truth_attitude,0.4827849781259509,0.0020547945661853356,1.7686221824497494,0.001494757422370664,0.47620025020335455,0.002197093408524947,0.0016582248584345316,-0.006584727922596345,0.0001422988423396116,0.051271702015202474,366,0,0,0.0,0.0,False,
20260729,0.0,0.0,mekf_with_covariance,0.38762219455704294,0.0022125865075996645,1.009931314399279,0.001570005586701774,0.38197340854588296,0.0042819246835092,0.005016645692705365,-0.005648786011159979,0.0020693381759095356,0.051271702015202474,366,0,0,0.0,0.0,False,
20260729,0.0,0.0,mekf_without_covariance,0.45143177090759384,0.002236320455347929,5.244146822086547,0.0016928338206721363,0.44420695883746897,0.004501228600780781,0.00611928924446196,-0.007224812070124875,0.0022649081454328523,0.051271702015202474,366,0,0,0.0,0.0,False,
20260729,0.0,0.0,mekf_with_covariance_local_only,0.39609085956585866,0.003093727426896139,0.9711007601590863,0.002919486764234343,0.39609085956585866,0.003093727426896139,0.002919486764234343,0.0,0.0,0.051271702015202474,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,truth_attitude,0.5025974890182374,0.002218335447427584,1.5557093939701234,0.0017121653563938102,0.5174820467768737,0.0023261744301972596,0.0018156326537740798,0.014884557758636285,0.00010783898276967583,0.051439485368907294,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,mekf_with_covariance,0.3608699891979272,0.0030941257886772187,1.1356418931349421,0.0028686758307345855,0.3942646405112731,0.003590047432749455,0.0036686534670965056,0.0333946513133459,0.0004959216440722364,0.051439485368907294,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,mekf_without_covariance,0.5547530623778469,0.0031872073700065467,5.2931519470473845,0.0033499371847707845,0.5697326611853094,0.003784919810841113,0.004506423091264868,0.014979598807462469,0.0005977124408345661,0.051439485368907294,366,0,0,0.0,0.0,False,
20260730,0.0,0.0,mekf_with_covariance_local_only,0.45245699066860534,0.0036677148632076866,0.7516549536258147,0.003977005258785912,0.45245699066860534,0.0036677148632076866,0.003977005258785912,0.0,0.0,0.051439485368907294,366,0,0,0.0,0.0,False,
20260731,0.0,0.0,truth_attitude,0.4446664242381098,0.0024476171423677834,1.5402285672171476,0.0019197569067389397,0.4452246416989078,0.0025996202931381695,0.002165218040059021,0.0005582174607979828,0.00015200315077038614,0.049053258988941736,366,0,0,0.0,0.0,False,
20260731,0.0,0.0,mekf_with_covariance,0.4292069578690642,0.0026566653862681953,1.2310361913515242,0.0021449880817287336,0.4311089602638406,0.0032720091114438756,0.0032066065303355414,0.001902002394776392,0.0006153437251756803,0.049053258988941736,366,0,0,0.0,0.0,False,
